sender,subject,body,dmarc_spf_pass,label,num_links,num_dollar_signs,num_urgent_terms,num_personal_pronouns,domain_match,suspicious_subject,signature_mismatch
admin@bradfordinc.com,Meeting Follow-up: Seamless reciprocal database,"
Dear Teresa,

Your August 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Bradford Inc.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Bradford Inc Billing Department
                

Best regards,
Teresa Petersen
Clinical molecular geneticist
Bradford Inc
Phone: 511.593.9164",1,0,1,0,0,0,1,-1,1
marketing@martinez-decker.com,Meeting Follow-up: Pre-emptive bottom-line system engine,"
Dear Scott,

Your February 2021 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Martinez-Decker.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Martinez-Decker Billing Department
                

Best regards,
Scott Horton
Ambulance person
Martinez-Decker
Phone: 572.727.3715x623",1,0,1,0,0,0,1,-1,1
security@hawkinsnelsonandrose-alerts.com,Action Required: Update Payment Information,"
Dear Rachel,

We've detected suspicious activity on your Hawkins, Nelson and Rose account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Hawkins, Nelson and Rose.com/verify?token=7703d97f-3a6d-45cc-bb05-8c721f1574f5

If this wasn't you, contact security immediately: security@Hawkins, Nelson and Rose.com

Sincerely,
Hawkins, Nelson and Rose Security Team
                ",0,1,1,0,3,2,1,1,0
marketing@hawkins-shaw.com,Your January 2021 Statement,"
Dear Kayla,

Your January 2021 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Hawkins-Shaw.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Hawkins-Shaw Billing Department
                

Best regards,
Kayla Cain
Psychologist, educational
Hawkins-Shaw
Phone: 001-651-889-2574x236",1,0,1,0,0,0,1,0,1
daniel.hayne@wilsongroup.com,Welcome Daniel to Wilson Group!,"
Dear Daniel,

Your May 2021 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Wilson Group.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Wilson Group Billing Department
                

Best regards,
Daniel Haynes
Journalist, newspaper
Wilson Group
Phone: 629-502-2486",1,0,1,0,0,0,1,0,1
cody@lawsonrobertsandthom.net,"Welcome Cody to Lawson, Roberts and Thompson!","
Dear Cody,

Your January 2023 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Lawson, Roberts and Thompson.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Lawson, Roberts and Thompson Billing Department
                

Best regards,
Cody Gonzalez
Industrial/product designer
Lawson, Roberts and Thompson
Phone: 001-734-600-3590",1,0,1,0,0,0,1,0,1
pamela@bakerandersonandmill.com,Your March 2021 Statement,"
Hello Team,

Quick update on the Particular yes project. Milestones are on track. 
We've completed 50% of the deliverables ahead of schedule.

Meeting scheduled for 2025-01-06 to discuss next steps.

Best regards,
Pamela
Tourist information centre manager
Baker, Anderson and Miller
                

Best regards,
Pamela Campbell
Passenger transport manager
Baker, Anderson and Miller
Phone: (969)212-9890",1,0,0,0,0,1,1,0,1
jeffrey@mason-douglas.net,Your September 2020 Statement,"
Hi Jeffrey,

Great connecting with you during our meeting about Assimilated holistic challenge. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-08-07.

Best regards,
Jeffrey
Engineer, electronics
Mason-Douglas
                

Best regards,
Jeffrey Baker
Contracting civil engineer
Mason-Douglas
Phone: (707)907-8186",1,0,0,0,0,5,1,0,1
billing@robles-knight.com,Notification: Robles-Knight - Account Verification Needed,"
Hello Danielle,

Following up on our conversation about the Cover hotel project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Robles-Knight Services
Account #: 676266346300
Routing #: 902290461

Please direct all future payments to this new account.

Sincerely,
Danielle
Scientist, water quality
Robles-Knight
                ",0,1,0,0,0,3,1,0,0
mathew@petersen-chang.com,Action Required: Update Payment Information,"
Hi Mathew,

This is a reminder that your payment for invoice #9046 for $4818 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Petersen-Chang.com/update-payment?token=dd5bac00-5e8c-43ca-a61c-69fd63d82c6f

If you believe this is an error, please contact our billing department.

Best regards,
Petersen-Chang Billing Department
                ",0,1,1,1,0,1,1,1,1
security@bradfordpachecoandag-alerts.com,Invoice 4366: Past Due Payment Notice,"
Dear Crystal,

We've detected suspicious activity on your Bradford, Pacheco and Aguirre account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Bradford, Pacheco and Aguirre.com/verify?token=34d1e7e6-903e-4a7a-92ee-e85d2d321b10

If this wasn't you, contact security immediately: security@Bradford, Pacheco and Aguirre.com

Sincerely,
Bradford, Pacheco and Aguirre Security Team
                

This communication is in accordance with our privacy policy: https://bradfordpachecoandag.com/privacy",1,1,2,0,3,3,1,0,1
contact@leonard-collins.com,Project Update: Finally turn,"
Hello Team,

Quick update on the Finally turn project. Milestones are on track. 
We've completed 33% of the deliverables ahead of schedule.

Meeting scheduled for 2025-03-22 to discuss next steps.

Best regards,
Stephanie
Designer, interior/spatial
Leonard-Collins
                

Best regards,
Stephanie Martinez
Town planner
Leonard-Collins
Phone: (664)901-7968",1,0,0,0,0,1,1,-1,1
abigail@sheltonsmithandmille.net,Your January 2021 Statement,"
Hi Abigail,

Great connecting with you during our meeting about Optional mobile software. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-02-21.

Best regards,
Abigail
Journalist, magazine
Shelton, Smith and Miller
                

Best regards,
Abigail Garza
Teacher, adult education
Shelton, Smith and Miller
Phone: (344)289-4028x42025",1,0,0,0,0,5,1,0,1
danielle@juarezwilsonandreed.net,"Welcome Danielle to Juarez, Wilson and Reed!","
Hello Team,

Quick update on the System wind project. Milestones are on track. 
We've completed 56% of the deliverables ahead of schedule.

Meeting scheduled for 2025-07-27 to discuss next steps.

Best regards,
Danielle
Operational researcher
Juarez, Wilson and Reed
                

Best regards,
Danielle Larsen
Designer, textile
Juarez, Wilson and Reed
Phone: 001-359-418-2197",1,0,0,0,0,1,1,0,1
"support@acevedo,fieldsandwright.com",Notification: Williams-Gibbs - Account Verification Needed,"
Hello Omar,

Following up on our conversation about the Much newspaper project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Williams-Gibbs Services
Account #: 6591777981196376
Routing #: 19968150

Please direct all future payments to this new account.

Sincerely,
Omar
Computer games developer
Williams-Gibbs
                ",0,0,0,0,0,3,0,0,0
security@harrisllc-alerts.com,Notification: Harris LLC - Account Verification Needed,"
Dear Dennis,

We've detected suspicious activity on your Harris LLC account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Harris LLC.com/verify?token=691cdd86-82d4-4109-8038-7f8deb82061e

If this wasn't you, contact security immediately: security@Harris LLC.com

Sincerely,
Harris LLC Security Team
                

Questions? Visit our FAQ page at https://harrisllc.com/faq or call 1-800-3678380",0,1,2,0,3,3,1,0,0
patrick.willi@tapia-murphy.com,Welcome Patrick to Tapia-Murphy!,"
Dear Patrick,

Your July 2021 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Tapia-Murphy.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Tapia-Murphy Billing Department
                

Best regards,
Patrick Williams
Air broker
Tapia-Murphy
Phone: (375)209-2806",1,0,1,0,0,0,1,0,1
security@gomez-rice-alerts.com,Security Alert: Gomez-Rice Account Activity,"
Hi Debra,

This is a reminder that your payment for invoice #8179 for $452 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Gomez-Rice.com/update-payment?token=2260798a-f30e-4b0f-af19-353d1a863a27

If you believe this is an error, please contact our billing department.

Best regards,
Gomez-Rice Billing Department
                

Best regards,
Debra Rodriguez
Garment/textile technologist
Gomez-Rice
Phone: (338)353-3600x60150",1,0,1,1,0,1,1,1,1
william.smith@romerosheaandpadilla.com,Project Update: How film,"
Hi William,

Great connecting with you during our meeting about Organized interactive definition. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-08-09.

Best regards,
William
Personnel officer
Romero, Shea and Padilla
                

Best regards,
William Smith
Retail merchandiser
Romero, Shea and Padilla
Phone: +1-495-689-2835x14228",0,0,0,0,0,5,1,-1,1
billing@stoutandsons.com,Invoice 8486: Past Due Payment Notice,"
Dear Elizabeth,

We've detected suspicious activity on your Stout and Sons account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Stout and Sons.com/verify?token=decb7ae5-5fdb-4a7e-89d2-8ccf35d2072f

If this wasn't you, contact security immediately: security@Stout and Sons.com

Sincerely,
Stout and Sons Security Team
                

Questions? Visit our FAQ page at https://stoutandsons.com/faq or call 1-800-4823457

Best regards,
Elizabeth Ellis
Clinical research associate
Stout and Sons
Phone: 711-818-6878",1,1,2,0,3,3,1,-1,1
nathaniel@ricewilliamsandsmith.com,"Security Alert: Rice, Williams and Smith Account Activity","
Hi Nathaniel,

This is a reminder that your payment for invoice #1014 for $766 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Rice, Williams and Smith.com/update-payment?token=1bbae0f0-5e5e-40ee-b0c8-6dde137146e0

If you believe this is an error, please contact our billing department.

Best regards,
Rice, Williams and Smith Billing Department
                

This communication is in accordance with our privacy policy: https://ricewilliamsandsmith.com/privacy",0,0,2,1,0,2,1,1,1
noreply@casey-williamson-secure.com,Action Required: Update Payment Information,"
Hi Kevin,

This is a reminder that your payment for invoice #7849 for $723 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Casey-Williamson.com/update-payment?token=98776bee-51c5-4b4a-b6e4-9e6830577222

If you believe this is an error, please contact our billing department.

Best regards,
Casey-Williamson Billing Department
                ",0,0,1,1,0,1,1,1,1
billing@atkinson-moore.com,Security Alert: Atkinson-Moore Account Activity,"
Dear Adam,

We've detected suspicious activity on your Atkinson-Moore account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Atkinson-Moore.com/verify?token=2821f3fb-aa69-4dff-bab5-bdc93328a57e

If this wasn't you, contact security immediately: security@Atkinson-Moore.com

Sincerely,
Atkinson-Moore Security Team
                ",0,1,1,0,3,2,1,1,1
noreply@jacksonowenandmyers-secure.com,"Notification: Jackson, Owen and Myers - Account Verification Needed","
Hi Lisa,

This is a reminder that your payment for invoice #8135 for $1707 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Jackson, Owen and Myers.com/update-payment?token=6cafc0ef-5f03-4f24-99b2-857136d7a530

If you believe this is an error, please contact our billing department.

Best regards,
Jackson, Owen and Myers Billing Department
                

Best regards,
Lisa Randolph
Personal assistant
Jackson, Owen and Myers
Phone: +1-800-844-7105x83323",0,1,1,1,0,1,1,0,1
sales@martinmooreandwillia.com,"Welcome Malik to Martin, Moore and Williams!","
Hello Team,

Quick update on the Success stand project. Milestones are on track. 
We've completed 67% of the deliverables ahead of schedule.

Meeting scheduled for 2025-06-16 to discuss next steps.

Best regards,
Malik
Chief Technology Officer
Martin, Moore and Williams
                

Best regards,
Malik Garza
Investment analyst
Martin, Moore and Williams
Phone: +1-751-791-5094x27057",1,0,0,0,0,1,1,0,1
support@walker-cole.com,Invoice 3767: Past Due Payment Notice,"
Hi Maurice,

This is a reminder that your payment for invoice #3767 for $2797 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Wolf LLC.com/update-payment?token=570f838f-cd03-444c-874d-2d2d4e8d2ffc

If you believe this is an error, please contact our billing department.

Best regards,
Wolf LLC Billing Department
                ",0,1,1,1,0,1,0,0,1
rita@fosterinc.com,Action Required: Update Payment Information,"
Hello Rita,

Following up on our conversation about the Ok remain project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Foster Inc Services
Account #: 4184715505177587
Routing #: 648358064

Please direct all future payments to this new account.

Sincerely,
Rita
Librarian, public
Foster Inc
                

Best regards,
Rita Grant
Location manager
Foster Inc
Phone: 001-256-261-9825",1,0,0,0,0,3,1,1,1
support@changinc.com,Security Alert: Chang Inc Account Activity,"
Dear James,

We've detected suspicious activity on your Chang Inc account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Chang Inc.com/verify?token=7b5c9ec9-976f-4c39-86d2-da7162fcb73f

If this wasn't you, contact security immediately: security@Chang Inc.com

Sincerely,
Chang Inc Security Team
                

Questions? Visit our FAQ page at https://changinc.com/faq or call 1-800-7407774",0,0,2,0,3,3,1,1,1
info@wilson-gordon.com,Meeting Follow-up: User-centric cohesive time-frame,"
Hi Robert,

Great connecting with you during our meeting about User-centric cohesive time-frame. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-07-22.

Best regards,
Robert
Optician, dispensing
Wilson-Gordon
                

Best regards,
Robert Saunders
Hotel manager
Wilson-Gordon
Phone: 785-298-0450x5823",1,0,0,0,0,5,1,-1,1
marketing@leonard-cook.com,Project Update: Nation improve,"
Dear Jennifer,

Your March 2023 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Leonard-Cook.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Leonard-Cook Billing Department
                

Best regards,
Jennifer Bryant
Sports coach
Leonard-Cook
Phone: +1-315-729-2743x8613",1,0,1,0,0,0,1,-1,1
hr@meyer-bell.com,Welcome Rodney to Meyer-Bell!,"
Dear Rodney,

Your March 2023 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Meyer-Bell.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Meyer-Bell Billing Department
                

Best regards,
Rodney Hancock
Planning and development surveyor
Meyer-Bell
Phone: 5669577035",1,0,1,0,0,0,1,0,1
"support@jensen,ryanandguzman.com",Security Alert: Garcia-Mitchell Account Activity,"
Hi Donald,

This is a reminder that your payment for invoice #1717 for $630 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Garcia-Mitchell.com/update-payment?token=56a89c8e-e2ca-4d78-b4ac-b61a7e4cd853

If you believe this is an error, please contact our billing department.

Best regards,
Garcia-Mitchell Billing Department
                

For your reference, your account number is: 3529332367100479",0,0,1,1,0,1,0,1,1
lisa@melendez-hickman.com,Invoice 5442: Past Due Payment Notice,"
Hi Lisa,

This is a reminder that your payment for invoice #5442 for $4238 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Melendez-Hickman.com/update-payment?token=98e97724-997c-4e13-94c9-1beeb30f0da4

If you believe this is an error, please contact our billing department.

Best regards,
Melendez-Hickman Billing Department
                ",0,1,1,1,0,1,1,0,1
cynthia.perez@halljarvisandwilliam.com,"Welcome Cynthia to Hall, Jarvis and Williams!","
Dear Cynthia,

Your May 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Hall, Jarvis and Williams.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Hall, Jarvis and Williams Billing Department
                

Best regards,
Cynthia Perez
Toxicologist
Hall, Jarvis and Williams
Phone: 983.448.8687",1,0,1,0,0,0,1,0,1
marketing@lewisandsons.com,Project Update: Accept enough,"
Hi Ruben,

Great connecting with you during our meeting about Open-architected bi-directional migration. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-05-27.

Best regards,
Ruben
Fitness centre manager
Lewis and Sons
                

Best regards,
Ruben Hernandez
Paramedic
Lewis and Sons
Phone: 001-984-209-5282x3294",0,0,0,0,0,5,1,-1,1
samantha.holla@santosbarrandgriffit.com,Meeting Follow-up: Intuitive upward-trending standardization,"
Dear Samantha,

Your March 2020 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Santos, Barr and Griffith.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Santos, Barr and Griffith Billing Department
                

Best regards,
Samantha Holland
Engineer, water
Santos, Barr and Griffith
Phone: 290.952.9861",1,0,1,0,0,0,1,-1,1
security@chapmanandsons-alerts.com,Notification: Chapman and Sons - Account Verification Needed,"
Hello David,

Following up on our conversation about the Up create project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Chapman and Sons Services
Account #: 342631947503248
Routing #: 175798770

Please direct all future payments to this new account.

Sincerely,
David
Science writer
Chapman and Sons
                

This communication is in accordance with our privacy policy: https://chapmanandsons.com/privacy",0,0,1,0,0,4,1,0,0
edward@jensen-thompson.net,Welcome Edward to Jensen-Thompson!,"
Hello Team,

Quick update on the Value type project. Milestones are on track. 
We've completed 35% of the deliverables ahead of schedule.

Meeting scheduled for 2025-06-14 to discuss next steps.

Best regards,
Edward
Psychologist, counselling
Jensen-Thompson
                

Best regards,
Edward Taylor
Arboriculturist
Jensen-Thompson
Phone: 001-224-955-3721x34945",1,0,0,0,0,1,1,0,1
christina.taylo@ericksonllc.com,Your August 2023 Statement,"
Dear Christina,

Your August 2023 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Erickson LLC.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Erickson LLC Billing Department
                

Best regards,
Christina Taylor
Theatre stage manager
Erickson LLC
Phone: 954.591.2742x47106",1,0,1,0,0,0,1,0,1
support@clarkcruzandjohnson.com,Action Required: Update Payment Information,"
Hello Jamie,

Following up on our conversation about the Media company project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Clark, Cruz and Johnson Services
Account #: 3549423974622249
Routing #: 792278130

Please direct all future payments to this new account.

Sincerely,
Jamie
Surveyor, quantity
Clark, Cruz and Johnson
                

Best regards,
Jamie Smith
Phytotherapist
Clark, Cruz and Johnson
Phone: 441.846.1562x2963",0,1,0,0,0,3,1,1,1
"support@spence,rojasandbryant.com",Invoice 5061: Past Due Payment Notice,"
Hello Nancy,

Following up on our conversation about the Ground truth project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Williams PLC Services
Account #: 5391878915544352
Routing #: 202909645

Please direct all future payments to this new account.

Sincerely,
Nancy
Civil engineer, consulting
Williams PLC
                

Best regards,
Nancy Newman
Geophysical data processor
Williams PLC
Phone: 226.398.5263",0,1,0,0,0,3,0,0,1
admin@chapmangroup.com,Security Alert: Chapman Group Account Activity,"
Dear Matthew,

We've detected suspicious activity on your Chapman Group account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Chapman Group.com/verify?token=2e6da197-831b-46d8-b1b9-7a23aa76a6db

If this wasn't you, contact security immediately: security@Chapman Group.com

Sincerely,
Chapman Group Security Team
                

Questions? Visit our FAQ page at https://chapmangroup.com/faq or call 1-800-5010023",1,1,2,0,3,3,1,1,0
kaitlyn.morri@mcbridewatsonandkirb.com,Your December 2020 Statement,"
Dear Kaitlyn,

Your December 2020 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Mcbride, Watson and Kirby.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Mcbride, Watson and Kirby Billing Department
                

Best regards,
Kaitlyn Morrison
Company secretary
Mcbride, Watson and Kirby
Phone: 001-464-208-8571x95537",1,0,1,0,0,0,1,0,1
billing@hernandezgroup.com,Project Update: Government third,"
Hi Thomas,

Great connecting with you during our meeting about Programmable bandwidth-monitored support. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-01-12.

Best regards,
Thomas
Chief Executive Officer
Hernandez Group
                

Best regards,
Thomas Dixon
Research scientist (physical sciences)
Hernandez Group
Phone: 437.836.1150",1,0,0,0,0,5,1,-1,1
matthew.harri@smithrodriguezandjon.com,Meeting Follow-up: Enterprise-wide zero-defect model,"
Hello Team,

Quick update on the Recognize tough project. Milestones are on track. 
We've completed 51% of the deliverables ahead of schedule.

Meeting scheduled for 2025-01-18 to discuss next steps.

Best regards,
Matthew
Location manager
Smith, Rodriguez and Jones
                

Best regards,
Matthew Harrison
Structural engineer
Smith, Rodriguez and Jones
Phone: 578.444.9055",1,0,0,0,0,1,1,-1,1
support@maynard-smith.com,"Security Alert: Ball, Terry and Ward Account Activity","
Hello Harold,

Following up on our conversation about the Course account project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Ball, Terry and Ward Services
Account #: 4311726992035101
Routing #: 885468934

Please direct all future payments to this new account.

Sincerely,
Harold
Multimedia specialist
Ball, Terry and Ward
                

For your reference, your account number is: 503859233366

Best regards,
Harold Cruz
Dramatherapist
Ball, Terry and Ward
Phone: 958-759-6671x9509",1,1,0,0,0,3,1,-1,1
troy@pattersonandsons.com,Security Alert: Patterson and Sons Account Activity,"
Dear Troy,

We've detected suspicious activity on your Patterson and Sons account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Patterson and Sons.com/verify?token=e1316f6b-dbf4-4028-b12a-9417c136132a

If this wasn't you, contact security immediately: security@Patterson and Sons.com

Sincerely,
Patterson and Sons Security Team
                ",0,1,1,0,3,2,1,-1,0
john@kimltd.com,Invoice 4621: Past Due Payment Notice,"
Hi John,

This is a reminder that your payment for invoice #4621 for $1582 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Kim Ltd.com/update-payment?token=ce9a54ea-5cc3-49a1-a91b-1a799f5827ad

If you believe this is an error, please contact our billing department.

Best regards,
Kim Ltd Billing Department
                

Best regards,
John Norris
Regulatory affairs officer
Kim Ltd
Phone: (540)522-2931x5818",0,1,1,1,0,1,1,0,1
security@tuckerarmstrongandla-alerts.com,Action Required: Update Payment Information,"
Hello Mark,

Following up on our conversation about the Research hold project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Tucker, Armstrong and Lawson Services
Account #: 36811087346142
Routing #: 840957294

Please direct all future payments to this new account.

Sincerely,
Mark
Geologist, engineering
Tucker, Armstrong and Lawson
                

Best regards,
Mark Flores
Oncologist
Tucker, Armstrong and Lawson
Phone: +1-941-259-8912",0,0,0,0,0,3,1,1,1
info@schwartz-jordan.com,Project Update: Positive look,"
Hello Team,

Quick update on the Positive look project. Milestones are on track. 
We've completed 37% of the deliverables ahead of schedule.

Meeting scheduled for 2025-01-23 to discuss next steps.

Best regards,
Patricia
Soil scientist
Schwartz-Jordan
                

Best regards,
Patricia Lopez
Television/film/video producer
Schwartz-Jordan
Phone: 916-461-0902x4934",0,0,0,0,0,1,1,-1,1
admin@jonesvincentandthoma.com,Project Update: Foot them,"
Hi Brittney,

Great connecting with you during our meeting about Enhanced 24/7 leverage. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-07-18.

Best regards,
Brittney
Science writer
Jones, Vincent and Thomas
                

Best regards,
Brittney Hayes
Journalist, newspaper
Jones, Vincent and Thomas
Phone: 946.350.1801x3402",1,0,0,0,0,5,1,-1,1
